
????

  ??  ????          ????        ??           PID
  TCP    127.0.0.1:58139        127.0.0.1:7897         CLOSE_WAIT      26668
  TCP    127.0.0.1:58141        127.0.0.1:7897         CLOSE_WAIT      26668
  TCP    127.0.0.1:58154        127.0.0.1:7897         TIME_WAIT       0
  TCP    127.0.0.1:58159        127.0.0.1:7897         TIME_WAIT       0
  TCP    127.0.0.1:58162        127.0.0.1:9210         TIME_WAIT       0
  TCP    127.0.0.1:58172        127.0.0.1:7897         TIME_WAIT       0
  TCP    127.0.0.1:58175        127.0.0.1:7897         TIME_WAIT       0
  TCP    127.0.0.1:58178        127.0.0.1:7897         ESTABLISHED     47304
  TCP    127.0.0.1:58181        127.0.0.1:7897         ESTABLISHED     26524
  TCP    127.0.0.1:58187        127.0.0.1:9210         TIME_WAIT       0
  TCP    127.0.0.1:58206        127.0.0.1:7897         TIME_WAIT       0
  TCP    127.0.0.1:58209        127.0.0.1:7897         TIME_WAIT       0
  TCP    127.0.0.1:58230        127.0.0.1:7897         TIME_WAIT       0
  TCP    127.0.0.1:58234        127.0.0.1:9210         TIME_WAIT       0
  TCP    127.0.0.1:58302        127.0.0.1:57306        ESTABLISHED     4672
  TCP    127.0.0.1:58597        127.0.0.1:57306        ESTABLISHED     4672
  TCP    127.0.0.1:58650        127.0.0.1:7897         CLOSE_WAIT      43476
  TCP    127.0.0.1:58674        127.0.0.1:57306        ESTABLISHED     4672
  TCP    127.0.0.1:58856        127.0.0.1:57306        ESTABLISHED     4672
  TCP    127.0.0.1:59021        127.0.0.1:57306        ESTABLISHED     4672
  TCP    127.0.0.1:59169        127.0.0.1:57306        ESTABLISHED     4672
  TCP    127.0.0.1:59402        0.0.0.0:0              LISTENING       21868
  TCP    127.0.0.1:59402        127.0.0.1:59409        ESTABLISHED     21868
  TCP    127.0.0.1:59403        0.0.0.0:0              LISTENING       21868
  TCP    127.0.0.1:59403        127.0.0.1:59408        ESTABLISHED     21868
  TCP    127.0.0.1:59408        127.0.0.1:59403        ESTABLISHED     15136
  TCP    127.0.0.1:59409        127.0.0.1:59402        ESTABLISHED     15136
  TCP    127.0.0.1:59438        127.0.0.1:57306        ESTABLISHED     4672
  TCP    127.0.0.1:59440        127.0.0.1:59441        ESTABLISHED     33232
  TCP    127.0.0.1:59441        127.0.0.1:59440        ESTABLISHED     33232
  TCP    127.0.0.1:59613        127.0.0.1:57306        ESTABLISHED     4672
  TCP    127.0.0.1:59747        127.0.0.1:57306        ESTABLISHED     4672
  TCP    127.0.0.1:59749        127.0.0.1:57306        ESTABLISHED     4672
  TCP    127.0.0.1:59751        127.0.0.1:57305        ESTABLISHED     4672
  TCP    127.0.0.1:60034        127.0.0.1:27060        ESTABLISHED     15136
  TCP    127.0.0.1:60598        127.0.0.1:57306        ESTABLISHED     4672
  TCP    127.0.0.1:60809        127.0.0.1:57306        ESTABLISHED     4672
  TCP    127.0.0.1:61001        127.0.0.1:57306        ESTABLISHED     4672
  TCP    127.0.0.1:61382        127.0.0.1:61383        ESTABLISHED     40948
  TCP    127.0.0.1:61383        127.0.0.1:61382        ESTABLISHED     40948
  TCP    127.0.0.1:61385        127.0.0.1:8010         ESTABLISHED     39084
  TCP    127.0.0.1:61651        127.0.0.1:57306        ESTABLISHED     4672
  TCP    127.0.0.1:61726        127.0.0.1:7897         ESTABLISHED     43476
  TCP    127.0.0.1:61859        127.0.0.1:57306        ESTABLISHED     4672
  TCP    127.0.0.1:62041        127.0.0.1:57306        ESTABLISHED     4672
  TCP    127.0.0.1:62210        127.0.0.1:57306        ESTABLISHED     4672
  TCP    127.0.0.1:62312        127.0.0.1:57306        ESTABLISHED     4672
  TCP    127.0.0.1:62329        127.0.0.1:57306        ESTABLISHED     4672
  TCP    127.0.0.1:62366        127.0.0.1:57306        ESTABLISHED     4672
  TCP    127.0.0.1:62480        127.0.0.1:57306        ESTABLISHED     4672
  TCP    127.0.0.1:62655        127.0.0.1:57306        ESTABLISHED     4672
  TCP    127.0.0.1:62704        127.0.0.1:57306        ESTABLISHED     4672
  TCP    127.0.0.1:62790        127.0.0.1:57306        ESTABLISHED     4672
